,host response time,host response rate,host verifications,latitude,longitude,property type,room type,bathrooms,bedrooms,beds,bed type,amenities,security deposit,cleaning fee,guests included,extra people,minimum nights,maximum nights,availability 365,number of reviews,cancellation policy,features,price,average review,final neighbourhood,years being host
14356,within a few hours,100.0,2,40.40980054262185,-3.705535823182291,Apartment,Private room,1.0,1.0,1.0,Real Bed,9,100.0,15.0,1,15,2,15,280,0,moderate,3,30.0,21.257599200162016,Centro,3
14358,within an hour,100.0,3,40.40964660961699,-3.7013606914338313,Apartment,Private room,1.0,1.0,1.0,Real Bed,8,183.0,30.0,1,6,1,1125,298,141,strict,4,21.0,20.428571428571427,Centro,2
14359,within an hour,100.0,5,40.409123519157646,-3.700638311235356,Apartment,Entire home/apt,1.0,2.0,2.0,Real Bed,21,100.0,30.0,1,12,1,1125,274,352,strict,4,46.0,21.285714285714285,Centro,5
14360,within an hour,95.0,4,40.40960213180199,-3.693580467215532,Apartment,Entire home/apt,3.0,2.0,2.0,Real Bed,24,300.0,35.0,4,0,7,1125,0,0,flexible,4,150.0,21.257599200162016,Centro,3
14361,within a few hours,75.0,3,40.409514611238,-3.69500523612128,Apartment,Entire home/apt,1.0,2.0,4.0,Real Bed,14,200.0,60.0,2,20,2,1125,335,0,strict,4,140.0,21.257599200162016,Centro,3
14362,within an hour,100.0,6,40.41271529054686,-3.7032393424986334,Apartment,Entire home/apt,2.0,2.0,5.0,Real Bed,15,200.0,30.0,1,0,2,1125,302,71,strict,3,100.0,19.0,Centro,3
14363,within a few hours,98.0,5,40.41263413094868,-3.706239816195657,Apartment,Entire home/apt,2.0,2.0,4.0,Real Bed,17,90.0,20.0,2,20,1,1125,304,56,strict,5,99.0,22.285714285714285,Centro,4
14365,within a few hours,100.0,4,40.40962926885219,-3.703766771164227,Apartment,Entire home/apt,1.0,1.0,2.0,Real Bed,8,183.0,30.0,1,0,2,1125,8,17,flexible,4,70.0,22.571428571428573,Centro,0
14366,within an hour,95.0,3,40.41018866525408,-3.704113355292225,Apartment,Private room,1.5,1.0,2.0,Real Bed,11,85.0,30.0,1,0,1,1125,0,4,flexible,2,30.0,22.571428571428573,Centro,2
14367,within a day,90.0,4,40.41270971113035,-3.700537104308278,Apartment,Entire home/apt,1.0,0.0,1.0,Real Bed,14,200.0,30.0,1,0,2,1125,0,0,moderate,3,60.0,21.257599200162016,Centro,4
14368,within an hour,99.0,4,40.41304600466814,-3.7007994805944895,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,6,200.0,30.0,1,0,2,1125,113,2,strict,5,59.0,22.714285714285715,Centro,1
14369,within an hour,95.0,3,40.40950144492546,-3.6999324383002414,Apartment,Private room,1.0,1.0,1.0,Real Bed,15,183.0,30.0,1,0,2,1125,0,0,flexible,3,62.0,21.257599200162016,Centro,2
14370,within an hour,95.0,4,40.408322700935216,-3.7097246405865354,Apartment,Private room,1.0,1.0,2.0,Real Bed,13,183.0,30.0,1,0,1,1125,0,15,flexible,2,30.0,20.714285714285715,Centro,2
14371,within an hour,95.0,4,40.41103088610829,-3.702693782780512,Other,Private room,1.0,1.0,2.0,Real Bed,12,200.0,30.0,1,15,1,1125,358,1,strict,3,35.0,18.857142857142858,Centro,2
14372,within an hour,100.0,3,40.40865132737402,-3.701960180287694,Apartment,Entire home/apt,1.0,1.0,2.0,Real Bed,19,120.0,20.0,2,10,2,60,329,187,moderate,3,49.0,21.142857142857142,Centro,5
14373,within an hour,100.0,3,40.41081774531198,-3.697634737380053,Apartment,Entire home/apt,1.0,2.0,3.0,Real Bed,14,100.0,25.0,2,20,2,1125,306,104,moderate,4,55.0,20.714285714285715,Centro,4
14374,within a few hours,100.0,4,40.40999090476229,-3.705400636699312,House,Private room,1.0,1.0,2.0,Real Bed,12,120.0,30.0,1,15,3,5,358,2,flexible,3,40.0,22.571428571428573,Centro,2
14375,within an hour,100.0,3,40.41152492725377,-3.699196170820691,Bed & Breakfast,Private room,1.0,1.0,1.0,Real Bed,15,183.0,30.0,1,15,3,30,303,107,flexible,4,35.0,22.571428571428573,Centro,3
14376,within an hour,100.0,3,40.4092727424703,-3.709160953240753,Apartment,Entire home/apt,1.0,1.0,2.0,Real Bed,10,150.0,30.0,2,15,2,1125,135,3,moderate,4,50.0,22.857142857142858,Centro,1
14377,within an hour,95.0,4,40.40884921053193,-3.696875624118093,Apartment,Private room,2.0,1.0,1.0,Real Bed,15,100.0,10.0,1,0,2,120,337,3,moderate,4,25.0,20.142857142857142,Centro,2
14378,within an hour,88.0,3,40.41171821699622,-3.700142349524063,Apartment,Private room,0.5,1.0,2.0,Real Bed,13,100.0,15.0,1,0,2,1125,105,42,moderate,3,30.0,21.428571428571427,Centro,2
14379,within an hour,100.0,5,40.40974107210173,-3.701239200572539,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,17,100.0,30.0,1,15,1,28,155,37,moderate,5,49.0,19.285714285714285,Centro,2
14380,within an hour,100.0,4,40.41167886096375,-3.707976527089344,Apartment,Private room,1.0,1.0,2.0,Real Bed,22,183.0,30.0,1,15,3,90,144,16,flexible,4,25.0,22.857142857142858,Centro,2
14381,within an hour,100.0,4,40.407123253158254,-3.700866913161856,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,15,150.0,20.0,1,0,3,28,19,52,strict,3,49.0,21.714285714285715,Centro,2
14382,within an hour,100.0,5,40.41158446111922,-3.707040109399316,Apartment,Entire home/apt,2.0,5.0,11.0,Real Bed,20,200.0,65.0,10,35,2,60,253,14,strict,6,300.0,22.428571428571427,Centro,1
14383,within a few hours,100.0,4,40.413071482988535,-3.703410492923339,Apartment,Private room,3.0,1.0,1.0,Real Bed,6,183.0,30.0,1,0,10,1125,96,0,strict,2,18.0,21.257599200162016,Centro,3
14384,within an hour,100.0,4,40.41127391224081,-3.7081556471091783,Apartment,Entire home/apt,1.0,3.0,6.0,Real Bed,15,183.0,15.0,1,0,2,1125,291,5,strict,2,92.0,21.571428571428573,Centro,1
14385,within an hour,100.0,5,40.40872059223999,-3.707730124733856,Apartment,Private room,1.0,1.0,1.0,Real Bed,12,183.0,30.0,1,0,1,1125,341,29,flexible,3,35.0,21.285714285714285,Centro,1
14386,within an hour,100.0,4,40.40651870303108,-3.7012546881727753,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,8,300.0,30.0,1,0,6,1125,347,11,moderate,4,72.0,22.285714285714285,Centro,4
14388,within an hour,100.0,6,40.40779228331064,-3.7070881721565576,Apartment,Private room,1.0,1.0,1.0,Real Bed,20,183.0,5.0,1,0,2,1125,57,6,moderate,3,30.0,22.714285714285715,Centro,1
14389,within an hour,100.0,3,40.41008246349887,-3.6967713596330936,Apartment,Entire home/apt,1.5,1.0,2.0,Real Bed,12,183.0,40.0,2,15,2,1125,212,13,flexible,3,60.0,22.0,Centro,3
14390,within an hour,100.0,3,40.41247770779901,-3.697077974988092,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,12,183.0,10.0,1,0,3,1125,113,50,strict,5,49.0,22.714285714285715,Centro,3
14391,within a day,100.0,3,40.41253670813479,-3.694981554807269,Apartment,Private room,1.0,1.0,1.0,Real Bed,9,183.0,30.0,1,0,1,1125,0,0,flexible,3,30.0,21.257599200162016,Centro,2
14392,within an hour,100.0,5,40.414711179970766,-3.696815833828616,Apartment,Entire home/apt,2.0,2.0,5.0,Real Bed,23,300.0,48.0,4,15,4,1125,273,62,strict,5,149.0,22.714285714285715,Centro,3
14393,within an hour,100.0,4,40.414904064018266,-3.697147016743032,Apartment,Entire home/apt,1.0,2.0,3.0,Real Bed,10,183.0,30.0,4,30,3,1125,251,1,moderate,4,140.0,22.857142857142858,Centro,4
14394,within an hour,100.0,3,40.41399353159299,-3.696561088568036,Other,Entire home/apt,2.0,2.0,3.0,Real Bed,19,200.0,35.0,4,20,1,1125,295,20,moderate,4,135.0,22.142857142857142,Centro,1
14395,within an hour,100.0,6,40.411768199547375,-3.6956750496544,Apartment,Entire home/apt,1.0,2.0,3.0,Real Bed,22,200.0,40.0,1,40,3,30,65,38,moderate,4,145.0,22.857142857142858,Centro,3
14396,within an hour,100.0,5,40.41159416469695,-3.69356485093467,Apartment,Private room,1.0,1.0,1.0,Real Bed,21,183.0,20.0,16,0,3,1125,51,18,strict,5,50.0,22.571428571428573,Centro,5
14397,within a few hours,100.0,5,40.4143869183757,-3.701879033998948,Apartment,Entire home/apt,1.0,1.0,3.0,Real Bed,24,183.0,35.0,2,15,3,1125,235,6,moderate,5,110.0,22.857142857142858,Centro,2
14398,within a day,96.0,3,40.41453357900944,-3.6989417404631375,Apartment,Entire home/apt,1.5,1.0,3.0,Real Bed,12,183.0,30.0,1,0,1,1125,270,2,moderate,2,136.0,21.0,Centro,2
14399,within an hour,100.0,3,40.4118136218674,-3.697103585957391,Apartment,Entire home/apt,2.0,2.0,5.0,Real Bed,17,200.0,30.0,1,0,3,365,202,36,flexible,4,100.0,22.428571428571427,Centro,5
14400,within a few hours,100.0,4,40.41453569884448,-3.70119546712944,Apartment,Entire home/apt,1.0,0.0,2.0,Real Bed,15,183.0,30.0,2,25,2,30,218,0,strict,5,97.0,21.257599200162016,Centro,3
14401,within an hour,100.0,3,40.42182585326128,-3.696403891251423,Apartment,Entire home/apt,1.0,2.0,3.0,Real Bed,16,100.0,30.0,1,0,3,1125,317,8,moderate,4,100.0,22.428571428571427,Centro,5
14402,within an hour,95.0,5,40.42556384961471,-3.696638569230299,Apartment,Entire home/apt,1.0,0.0,1.0,Real Bed,25,500.0,10.0,1,0,10,32,1,17,moderate,5,58.0,22.714285714285715,Centro,3
14403,within an hour,100.0,4,40.42460238291635,-3.692132802131785,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,17,183.0,30.0,1,0,2,1125,99,3,flexible,3,130.0,22.714285714285715,Centro,5
